FIPS,State,County,Ed1LessThanHSPct,Age65AndOlderPct2010,Age65AndOlderNum2010,Under18Pct2010,Under18Num2010,TotalPop25Plus,Ed1LessThanHSNum,Ed2HSGradOnlyNum,TotalPop2010,Ed4CollegePlusNum,NativeAmericanNonHispanicNum2010,Ed2HSGradOnlyPct,Ed3SomeCollegePct,Ed4CollegePlusPct,TotalPopACS,ForeignBornNum,ForeignBornPct,ForeignBornEuropeNum,Ed3SomeCollegeNum,NonHispanicBlackPopChangeRate0010,PopDensity2010,PopChangeRate0010,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRaceNum2010,NonHispanicWhitePopChangeRate0010,HispanicNum2010,NonHispanicAsianPopChangeRate0010,NonHispanicNativeAmericanPopChangeRate0010,HispanicPopChangeRate0010,MultipleRacePopChangeRate0010,WhiteNonHispanicNum2010,BlackNonHispanicNum2010,AsianNonHispanicNum2010,ForeignBornMexPct,MultipleRacePct2010,TotalPopEst2013,ForeignBornEuropePct,NaturalChangeRate0010,NaturalChangeNum0010,NetMigrationNum0010,LandAreaSQMiles2010,TotalPopEst2011,TotalPopEstBase2010,NonEnglishHHPct,TotalPopEst2012,NonEnglishHHNum,NaturalChangeRate1014,TotalPopEst2010,NetMigrationRate0010,TotalPopEst2014,PopChangeRate1314,Net_International_Migration_2000_2010,Immigration_Rate_2000_2010,Net_International_Migration_2010_2014,PopChangeRate1014,TotalOccHU,Immigration_Rate_2010_2014,ForeignBornAsiaNum,ForeignBornAsiaPct,ForeignBornAfricaNum,ForeignBornAfricaPct,ForeignBornCaribNum,ForeignBornCaribPct,NetMigrationRate1014,ForeignBornCentralSouthAmPct,ForeignBornMexNum,AvgHHSize,TotalHH,FemaleHHNum,FemaleHHPct,OwnHomeNum,OwnHomePct,HH65PlusAloneNum,HH65PlusAlonePct,ForeignBornCentralSouthAmNum
00000,US,United States,14.0,13.0,40267984,24.0,74181467,206587852,28887721,58084465,308745538,59583138,2247098,28.1,29.1,28.8,311536594,40341744,12.9,4820496,60032528,11.0,87.4,9.7,63.7,12.2,4.7,0.7,16.3,9009073,1.2,50477594,42.9,8.6,43.0,32.0,196817552,37685848,14465124,4.7,2.9,316128839.0,1.5,,,,3531905.4,311582564,308747716,9.1,313873685,10479246,1.40,309326295,,318857056,,,,,9.71,115610216,,9929.0,0.0,42539.0,0.0,21187930,6.8,0.8,0.0,14685990,2.6,115610216,15003337,13.0,75075700,64.9,11296134,9.8,84799
01000,AL,Alabama,16.9,13.8,657792,23.7,1132459,3193338,539200,991730,4779736,722692,25907,31.1,29.4,22.6,4799277,168232,3.5,18024,939716,8.2,94.4,7.5,67.0,26.0,1.1,0.5,3.9,71251,2.5,185602,70.8,19.8,144.8,61.3,3204402,1244437,52937,1.7,1.5,4833996.0,0.4,3.3,147019.5,147119,50645.3,4801695,4780127,2.3,4817484,42636,0.80,4785822,3.30,4849377,0.32,54447,1.2,21807,1.33,1838683,0.46,24.0,0.0,213.0,0.0,91845,1.9,0.5,0.0,80603,2.6,1838683,280970,15.3,1281604,69.7,189436,10.3,275
01001,AL,Autauga,14.4,12.0,6546,26.8,14613,35696,5143,12211,54571,7472,217,34.2,30.5,20.9,54907,888,1.6,151,10870,29.2,91.8,25.0,77.2,17.6,0.9,0.4,2.4,869,21.1,1310,140.7,16.7,114.8,114.6,42154,9595,467,0.5,1.6,55136.0,0.3,5.5,2403.5,5224,594.4,55275,54571,1.6,55192,313,0.67,54684,11.87,55395,0.47,-4.5,0.0,51,1.30,20071,0.09,0.0,0.0,0.0,0.0,320,0.6,0.6,0.0,291,2.7,20071,2587,12.9,15418,76.8,1875,9.3,0
01003,AL,Baldwin,10.9,16.8,30568,23.0,41898,130063,14209,37927,182265,36087,1146,29.2,32.2,27.7,187114,6806,3.6,1372,41840,18.2,114.6,29.8,83.5,9.3,0.7,0.6,4.4,2723,25.9,7992,152.4,52.2,224.1,85.7,152200,16966,1340,1.5,1.5,195443.0,0.7,3.3,4686.5,36984,1589.8,186694,182265,2.4,190561,1761,0.57,183216,26.17,200111,2.39,2239.5,1.6,1083,9.22,73283,0.59,10.0,0.0,0.0,0.0,3772,2.0,8.6,0.0,2883,2.5,73283,8030,11.0,53225,72.6,7120,9.7,0
01005,AL,Barbour,26.3,14.2,3909,21.9,6015,18988,5002,6245,27457,2545,60,32.9,27.4,13.4,27321,804,2.9,27,5196,-4.1,31.0,-5.4,46.8,46.7,0.4,0.2,5.1,258,-13.2,1387,28.9,-49.6,190.2,21.7,12837,12820,107,2.3,0.9,26978.0,0.1,2.3,664.0,-1393,884.9,27225,27457,2.9,27169,270,-0.08,27336,-4.80,26887,-0.34,530.5,1.8,3,-1.64,9200,0.01,0.0,0.0,0.0,0.0,646,2.4,-1.6,0.0,641,2.7,9200,1749,19.0,6227,67.7,1257,13.7,0
01007,AL,Bibb,22.5,12.7,2906,22.7,5201,15340,3459,6256,22915,1851,64,40.8,24.6,12.1,22754,268,1.2,24,3774,9.6,36.8,10.0,75.0,21.9,0.1,0.3,1.8,203,8.3,406,29.4,39.1,93.3,89.7,17191,5024,22,0.4,0.9,22504.0,0.1,2.1,417.5,1280,622.6,22740,22919,0.8,22634,56,0.14,22879,6.43,22506,0.01,68,0.3,7,-1.63,7091,0.03,0.0,0.0,0.0,0.0,218,1.0,-1.8,0.0,98,3.0,7091,1132,16.0,5599,79.0,778,11.0,0
01009,AL,Blount,23.0,14.7,8439,24.6,14106,38846,8937,13463,57322,4697,285,34.7,30.2,12.1,57623,2501,4.3,108,11749,21.1,88.9,12.3,88.9,1.3,0.2,0.5,8.1,684,8.4,4626,64.3,34.4,70.2,31.8,50952,724,115,3.9,1.2,57720.0,0.2,3.1,1606.0,6268.5,644.8,57694,57322,5.1,57748,1078,0.85,57344,12.27,57719,0.00,1061.5,2.1,45,0.65,21108,0.08,0.0,0.0,0.0,0.0,2247,3.9,-0.2,0.0,2219,2.7,21108,1972,9.3,17108,81.0,2133,10.1,0
01011,AL,Bullock,32.2,13.5,1469,22.3,2430,7510,2421,2548,10914,938,20,33.9,21.3,12.5,10746,576,5.4,0,1603,-10.0,17.5,-6.8,21.9,70.0,0.2,0.2,7.1,86,-13.5,777,-4.8,-45.9,141.3,4.9,2392,7637,20,4.8,0.8,10605.0,0.0,3.2,371.0,-1057.5,622.8,10623,10915,1.8,10589,68,0.90,10886,-9.13,10764,1.50,424,3.7,56,-1.12,3741,0.51,0.0,0.0,0.0,0.0,543,5.1,-2.0,0.0,518,2.7,3741,917,24.5,2781,74.3,489,13.1,0
01013,AL,Butler,23.7,16.7,3489,24.1,5056,14080,3337,5212,20947,1971,59,37.0,25.3,14.0,20624,157,0.8,12,3560,4.3,27.0,-2.1,54.1,43.2,0.8,0.3,0.9,161,-8.9,191,411.8,34.1,33.6,91.7,11324,9047,174,0.3,0.8,20289.0,0.1,-0.2,-52.5,-1423,776.8,20676,20946,1.0,20409,84,-0.12,20945,-6.67,20296,0.03,44,0.2,24,-3.10,8235,0.11,0.0,0.0,0.0,0.0,61,0.3,-3.0,0.0,61,2.5,8235,1592,19.3,5788,70.3,997,12.1,0
01015,AL,Calhoun,21.4,14.3,16990,22.9,27126,78545,16800,25866,118572,12626,480,32.9,29.6,16.1,117714,2822,2.4,507,23253,16.7,195.7,5.6,73.6,20.4,0.7,0.4,3.3,1975,-0.4,3893,32.8,12.4,122.1,82.7,87285,24177,830,1.2,1.7,116547.0,0.4,1.6,1800.5,1645,605.9,117760,118586,2.1,117264,960,-0.12,118443,1.48,115916,-0.54,794,0.7,134,-2.13,45196,0.11,0.0,0.0,0.0,0.0,1504,1.3,-2.0,0.0,1391,2.5,45196,6988,15.5,31028,68.7,4949,11.0,0
